순번,도로명주소,농촌도시구분,층수,연면적(제곱미터)
112,전북특별자치도 군산시 옥서면 남수라1길 13,농촌,1,49.58
113,전북특별자치도 군산시 옥서면 옥봉들2길 56-1,농촌,1,32.4
114,전북특별자치도 군산시 옥서면 신장원길 28-1,농촌,1,55
115,전북특별자치도 군산시 철골3길 6-5(신흥동),도시,1,73.94
116,전북특별자치도 군산시 구영1길 10-9(월명동),도시,1,54.21
117,전북특별자치도 군산시 월명안길 8-3(월명동),도시,1,34.04
118,전북특별자치도 군산시 월명1길 27(월명동),도시,1,163.92
119,전북특별자치도 군산시 선양안길 12-1(선양동),도시,1,56.82
120,전북특별자치도 군산시 개복길 28(개복동),도시,1,33.06
121,전북특별자치도 군산시 구영2길 38(영화동),도시,1,18.51
122,전북특별자치도 군산시 약전길 28-2(중앙로2가),도시,1,115.5
123,전북특별자치도 군산시 팔마로 210-8(경장동),도시,1,44.63
124,전북특별자치도 군산시 경암1길 23-2(경장동),도시,1,98.07
125,전북특별자치도 군산시 진포로 227-4(경암동),도시,1,96.78
126,전북특별자치도 군산시 옥구읍 옥구로 128,농촌,1,
127,전북특별자치도 군산시 옥산면 봉황길 95-13,농촌,1,
128,전북특별자치도 군산시 회현면 용화1길 64-18,농촌,1,
129,전북특별자치도 군산시 서수면 신관원길 80-2,농촌,1,
130,전북특별자치도 군산시 대야면 소차길 15-1,농촌,1,
131,전북특별자치도 군산시 개정면 동정3길 46-1,농촌,1,25.85
132,전북특별자치도 군산시 개정면 능동1길 30-1,농촌,1,91.1
133,전북특별자치도 군산시 나포면 원서포길 16,농촌,1,50
134,전북특별자치도 군산시 절골2길 17-10(신흥동),도시,1,48.59
135,전북특별자치도 군산시 군산창길 7(금동),도시,1,45.95
136,전북특별자치도 군산시 동국사길 4-6(월명동),도시,1,42.31
137,전북특별자치도 군산시 오룡재길 5(오룡동),도시,1,79.26
138,전북특별자치도 군산시 삼학3길 34-7(삼학동),도시,1,68.7
139,전북특별자치도 군산시 삼학9길 35-4(삼학동),도시,1,45.6
140,전북특별자치도 군산시 기와골안길 7(삼학동),도시,1,52.89
141,전북특별자치도 군산시 풍문3길 32-17(미원동),도시,1,
142,전북특별자치도 군산시 삼학6길 20 (미원동),도시,1,
143,전북특별자치도 군산시 서래2길 13-2(중동),도시,1,70.8
144,전북특별자치도 군산시 경포1길 14-6(경암동),도시,1,57.4
145,전북특별자치도 군산시 새터길 21-9(구암동),도시,1,63.3
