name,category,lat,lng,distance,house_id
군산짬뽕특화거리,가볼만한곳,35.9874401730557,126.713815215738,578,21
군산근대화거리,가볼만한곳,35.99015200138156,126.71194127370222,878,21
옛군산세관,가볼만한곳,35.991075870642184,126.7112359403672,988,21
군산근대미술관,가볼만한곳,35.98995301457076,126.71277038195265,852,21
해망굴,가볼만한곳,35.9913180812321,126.704849620425,1239,21
군산근대건축관,가볼만한곳,35.9893398034217,126.714123294154,791,21
김수미생가,가볼만한곳,35.9867271039269,126.704076072002,937,21
말랭이마을 스탬프투어,가볼만한곳,35.9864459798514,126.704832282409,863,21
월명산,가볼만한곳,35.98252204742429,126.70265581907687,925,21
군산시간여행 관광안내소,가볼만한곳,35.987562046642225,126.71126870566178,605,21
시간여행마을 관광안내소,가볼만한곳,35.9900903188528,126.713657044939,869,21
조선은행,가볼만한곳,35.9892535183954,126.714221192099,783,21
우체통거리,가볼만한곳,35.9859964914028,126.711970794777,421,21
수시탑,가볼만한곳,35.989782775471,126.703546782706,1186,21
순대국밥거리,가볼만한곳,35.9838076419368,126.720070123366,667,21
안동집 주차장,주차장,35.9820773571079,126.713235807541,36,21
월명동2 주차장,주차장,35.9829222382159,126.71379161139,106,21
월명동4 주차장,주차장,35.9813428683527,126.713619901875,121,21
월명동9 주차장,주차장,35.9821952008757,126.711266080671,149,21
명산시장공영주차장,주차장,35.9827630758538,126.710558784441,219,21
군산시공영주차장,주차장,35.9812263159995,126.714631573098,193,21
월명동3 주차장,주차장,35.9812588761408,126.714680244275,195,21
월명동13 주차장,주차장,35.9859861169363,126.713660786077,417,21
월명동6 주차장,주차장,35.9805137053086,126.712101600881,208,21
월명동1 주차장,주차장,35.9845043341135,126.713595171946,254,21
월명동14 주차장,주차장,35.9840660593219,126.714235462926,231,21
삼학동3 주차장,주차장,35.9793351497183,126.713715859554,334,21
선양공영주차장,주차장,35.980362756913,126.712292865274,219,21
공영 주차장,주차장,35.9795762606264,126.712034042259,309,21
삼학동1 주차장,주차장,35.9822952966393,126.707939190946,448,21
이마트 군산점,마트,35.98284660385269,126.73500861752936,1939,22
롯데마트 군산점,마트,35.9648100448134,126.716411195393,1805,22
더탑마트,마트,35.9774854873357,126.715851386631,430,22
Y식자재마트 군산수송점,마트,35.97008515037704,126.71420603151881,1203,22
코렉스마트 1호점,마트,35.9910060745605,126.708461567816,1212,22
진포마트,마트,35.9731249307333,126.721840764369,1138,22
오픈박스 군산점,마트,35.9652577892755,126.7151978906291,1744,22
나이스마트 나운점,마트,35.9686678158413,126.701741032569,1732,22
화진마트,마트,35.97815921957206,126.7179778370611,497,22
조양마트,마트,35.9747969271552,126.710871706691,724,22
우리홈마트 명산점,마트,35.9826077869311,126.71044403154,343,22
삼학홈마트,마트,35.9776600749237,126.711216073082,423,22
해누리식자재마트,마트,35.978076437319,126.710465019186,426,22
장가게식자재마트,마트,35.9762686427631,126.715395613759,540,22
하늘마트,마트,35.9835254835231,126.711292282515,357,22
군산짬뽕특화거리,가볼만한곳,35.9874401730557,126.713815215738,723,22
군산근대화거리,가볼만한곳,35.99015200138156,126.71194127370222,1035,22
옛군산세관,가볼만한곳,35.991075870642184,126.7112359403672,1147,22
군산근대미술관,가볼만한곳,35.98995301457076,126.71277038195265,1004,22
해망굴,가볼만한곳,35.9913180812321,126.704849620425,1399,22
군산근대건축관,가볼만한곳,35.9893398034217,126.714123294154,934,22
김수미생가,가볼만한곳,35.9867271039269,126.704076072002,1076,22
말랭이마을 스탬프투어,가볼만한곳,35.9864459798514,126.704832282409,1003,22
월명산,가볼만한곳,35.98252204742429,126.70265581907687,1006,22
군산시간여행 관광안내소,가볼만한곳,35.987562046642225,126.71126870566178,766,22
시간여행마을 관광안내소,가볼만한곳,35.9900903188528,126.713657044939,1017,22
조선은행,가볼만한곳,35.9892535183954,126.714221192099,925,22
우체통거리,가볼만한곳,35.9859964914028,126.711970794777,582,22
수시탑,가볼만한곳,35.989782775471,126.703546782706,1339,22
순대국밥거리,가볼만한곳,35.9838076419368,126.720070123366,662,22
군산시공영주차장,주차장,35.9812263159995,126.714631573098,95,22
월명동4 주차장,주차장,35.9813428683527,126.713619901875,46,22
월명동3 주차장,주차장,35.9812588761408,126.714680244275,100,22
안동집 주차장,주차장,35.9820773571079,126.713235807541,132,22
월명동6 주차장,주차장,35.9805137053086,126.712101600881,145,22
선양공영주차장,주차장,35.980362756913,126.712292865274,136,22
삼학동3 주차장,주차장,35.9793351497183,126.713715859554,176,22
공영 주차장,주차장,35.9795762606264,126.712034042259,208,22
명산시장공영주차장,주차장,35.9827630758538,126.710558784441,344,22
미원광장 공영주차장,주차장,35.9790590383293,126.715850181368,287,22
월명동7 주차장,주차장,35.9796159890526,126.712064944453,203,22
흥남동3 주차장,주차장,35.9785467953522,126.715705657334,323,22
월명동2 주차장,주차장,35.9829222382159,126.71379161139,222,22
월명동9 주차장,주차장,35.9821952008757,126.711266080671,256,22
월명동8 주차장,주차장,35.9805112105592,126.711063757419,236,22
이마트 군산점,마트,35.98284660385269,126.73500861752936,1723,23
롯데마트 군산점,마트,35.9648100448134,126.716411195393,1837,23
더탑마트,마트,35.9774854873357,126.715851386631,431,23
Y식자재마트 군산수송점,마트,35.97008515037704,126.71420603151881,1262,23
코렉스마트 1호점,마트,35.9910060745605,126.708461567816,1266,23
진포마트,마트,35.9731249307333,126.721840764369,1056,23
오픈박스 군산점,마트,35.9652577892755,126.7151978906291,1789,23
나이스마트 나운점,마트,35.9686678158413,126.701741032569,1907,23
화진마트,마트,35.97815921957206,126.7179778370611,399,23
우리홈마트 명산점,마트,35.9826077869311,126.71044403154,518,23
조양마트,마트,35.9747969271552,126.710871706691,862,23
삼학홈마트,마트,35.9776600749237,126.711216073082,595,23
해누리식자재마트,마트,35.978076437319,126.710465019186,617,23
마트24주유소,마트,35.9766318509852,126.732641116801,1591,23
장가게식자재마트,마트,35.9762686427631,126.715395613759,568,23
