순번,도로명주소,농촌도시구분,층수,연면적(제곱미터),전체주소,위도,경도
134,전라북도 군산시 절골2길 17-10(신흥동),도시,1,48.59,전라북도 군산시 절골2길 17-10(신흥동),35.9867496042211,126.704283020332
135,전라북도 군산시 군산창길 7(금동),도시,1,45.95,전라북도 군산시 군산창길 7(금동),35.9900557331488,126.707427974205
136,전라북도 군산시 동국사길 4-6(월명동),도시,1,42.31,전라북도 군산시 동국사길 4-6(월명동),35.9840916900004,126.707925363563
137,전라북도 군산시 오룡재길 5(오룡동),도시,1,79.26,전라북도 군산시 오룡재길 5(오룡동),35.9800951398715,126.707135315587
138,전라북도 군산시 삼학3길 34-7(삼학동),도시,1,68.7,전라북도 군산시 삼학3길 34-7(삼학동),35.9765579462138,126.713958507141
139,전라북도 군산시 삼학9길 35-4(삼학동),도시,1,45.6,전라북도 군산시 삼학9길 35-4(삼학동),35.9752929609617,126.713763940856
140,전라북도 군산시 기와골안길 7(삼학동),도시,1,52.89,전라북도 군산시 기와골안길 7(삼학동),35.9777582078874,126.710500775369
141,전라북도 군산시 풍문3길 32-17(미원동),도시,1,,전라북도 군산시 풍문3길 32-17(미원동),35.9788860484449,126.717358207206
142,전라북도 군산시 삼학6길 20 (미원동),도시,1,,전라북도 군산시 삼학6길 20 (미원동),35.9780584375441,126.714537643111
143,전라북도 군산시 서래2길 13-2(중동),도시,1,70.8,전라북도 군산시 서래2길 13-2(중동),35.9833103063098,126.725043547975
144,전라북도 군산시 경포1길 14-6(경암동),도시,1,57.4,전라북도 군산시 경포1길 14-6(경암동),35.9800780591578,126.7281797229
145,전라북도 군산시 새터길 21-9(구암동),도시,1,63.3,전라북도 군산시 새터길 21-9(구암동),35.9786617487693,126.751183026909
